Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61089453,Four Battlegrounds: Power in the Age of Artificial Intelligence,Paul Scharre,"Scharre, Paul",,"=""0393866866""","=""9780393866865""",0,3.79,W. W. Norton & Company,Hardcover,496,2023,2023,,2023/12/17,to-read,to-read (#126),to-read,,,,0,0
60465407,Shubeik Lubeik,Deena Mohamed,"Mohamed, Deena",,"=""1524748420""","=""9781524748425""",0,4.53,Pantheon Books,Unknown Binding,0,2022,2023,,2023/12/13,to-read,to-read (#125),to-read,,,,0,0
62802771,Loot,Tania James,"James, Tania",,"=""0593535979""","=""9780593535974""",0,3.83,Knopf,Hardcover,304,2023,2023,,2023/12/13,to-read,to-read (#124),to-read,,,,0,0
32895535,Why Buddhism Is True: The Science and Philosophy of Meditation and Enlightenment,Robert Wright,"Wright, Robert",Fred Sanders,"=""1508235406""","=""9781508235408""",0,4.01,Simon & Schuster Audio,Audiobook,11,2017,2017,,2023/11/10,to-read,to-read (#123),to-read,,,,0,0
35209767,How to Break Up with Your Phone: The 30-Day Plan to Take Back Your Life,Catherine Price,"Price, Catherine",,"=""039958112X""","=""9780399581120""",0,3.92,Ten Speed Press,Paperback,184,2018,2018,,2023/11/02,to-read,to-read (#122),to-read,,,,0,0
6617037,"Debt: The First 5,000 Years",David Graeber,"Graeber, David",,"=""1933633867""","=""9781933633862""",0,4.21,Melville House,Hardcover,534,2011,2011,,2023/10/27,to-read,to-read (#121),to-read,,,,0,0
22245334,"The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy",David Graeber,"Graeber, David",,"=""1612193749""","=""9781612193748""",0,4.01,Melville House,Hardcover,261,2015,2013,,2023/10/27,to-read,to-read (#120),to-read,,,,0,0
55338982,Cultish: The Language of Fanaticism,Amanda Montell,"Montell, Amanda",,"=""0062993151""","=""9780062993151""",5,3.90,Harper,Hardcover,309,2021,2021,2023/01/22,2023/01/19,,,read,,,,1,0
23624994,Psychology of Crowds,Gustave Le Bon,"Bon, Gustave Le",,"=""""","=""""",3,3.83,Sparkling Books Limited,Kindle Edition,219,2009,1895,2023/10/22,2023/10/22,,,read,,,,1,0
40653191,Period Power: Harness Your Hormones and Get Your Cycle Working For You,Maisie Hill,"Hill, Maisie",,"=""147296361X""","=""9781472963611""",0,4.08,Green Tree,Paperback,352,2019,2019,,2023/10/20,to-read,to-read (#119),to-read,,,,0,0
62315554,The Power of One: How I Found the Strength to Tell the Truth and Why I Blew the Whistle on Facebook,Frances Haugen,"Haugen, Frances",,"=""1668623463""","=""9781668623466""",0,3.72,"Little, Brown  Company",Audiobook,17,2023,,,2023/10/20,to-read,to-read (#118),to-read,,,,0,0
39330937,The Laws of Human Nature,Robert Greene,"Greene, Robert",,"=""0698184548""","=""9780698184541""",5,4.37,Penguin Books,Kindle Edition,624,2018,2018,2023/10/17,2023/10/03,,,read,,,,1,0
118824,Walt Disney: The Triumph of the American Imagination,Neal Gabler,"Gabler, Neal",,"=""067943822X""","=""9780679438229""",0,4.05,Alfred A. Knopf,Hardcover,851,2006,2006,,2023/10/13,to-read,to-read (#117),to-read,,,,0,0
50607466,"The Henna Artist (The Jaipur Trilogy, #1)",Alka Joshi,"Joshi, Alka",,"=""0778310205""","=""9780778310204""",0,4.19,Mira Books,Paperback,384,2020,2020,,2023/10/13,to-read,to-read (#116),to-read,,,,0,0
59357120,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""000853277X""","=""9780008532772""",0,3.87,The Borough Press,Hardcover,329,2023,2023,,2023/10/13,to-read,to-read (#115),to-read,,,,0,0
49814228,"The Biggest Bluff: How I Learned to Pay Attention, Master Myself, and Win",Maria Konnikova,"Konnikova, Maria",,"=""052552262X""","=""9780525522621""",0,4.08,Penguin Press,Hardcover,368,2020,2020,,2023/10/13,to-read,to-read (#114),to-read,,,,0,0
26195941,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,"Zuboff, Shoshana",,"=""1610395697""","=""9781610395694""",0,4.06,PublicAffairs,Hardcover,691,2019,2018,,2023/10/11,to-read,to-read (#113),to-read,,,,0,0
12605157,"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,"Guillebeau, Chris",,"=""0307951529""","=""9780307951526""",0,3.88,Crown Currency,Hardcover,268,2012,2012,,2023/09/16,to-read,to-read (#112),to-read,,,,0,0
38942589,"Feel Better Fast and Make It Last: Unlock Your Brain’s Healing Potential to Overcome Negativity, Anxiety, Anger, Stress, and Trauma",Daniel G. Amen,"Amen, Daniel G.",,"=""1496425650""","=""9781496425652""",0,4.23,Tyndale Refresh,Hardcover,384,2018,,,2023/09/16,to-read,to-read (#111),to-read,,,,0,0
34570019,"Memory Rescue: Supercharge Your Brain, Reverse Memory Loss, and Remember What Matters Most",Daniel G. Amen,"Amen, Daniel G.",,"=""149642560X""","=""9781496425607""",0,4.03,Tyndale Refresh,Hardcover,448,2017,2017,,2023/09/16,to-read,to-read (#110),to-read,,,,0,0
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""0670785938""","=""9780670785933""",5,4.41,Viking,Hardcover,464,2014,2014,2023/09/16,2023/01/23,,,read,,,,1,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",0,4.12,Penguin Press,Hardcover,406,2023,2023,,2023/08/18,to-read,to-read (#109),to-read,,,,0,0
45892228,"Crave (Crave, #1)",Tracy Wolff,"Wolff, Tracy",,"=""1640638954""","=""9781640638952""",0,3.80,Entangled: Teen,Hardcover,592,2020,2020,,2023/08/18,to-read,to-read (#108),to-read,,,,0,0
37424706,The Art of Gathering: How We Meet and Why It Matters,Priya Parker,"Parker, Priya",,"=""1594634920""","=""9781594634925""",4,3.99,Riverhead Books,Hardcover,304,2018,2018,2023/07/23,2023/01/26,,,read,,,,1,0
36465763,Human + Machine: Reimagining Work in the Age of AI,Paul R. Daugherty,"Daugherty, Paul R.",H. James Wilson,"=""1633693872""","=""9781633693876""",0,3.66,Harvard Business Review Press,Kindle Edition,246,2018,,,2023/01/13,to-read,to-read (#80),to-read,,,,0,0
56377201,AI 2041: Ten Visions for Our Future,Kai-Fu Lee,"Lee, Kai-Fu",Chen Qiufan,"=""059323829X""","=""9780593238295""",5,3.87,Crown Currency,Hardcover,480,2021,2021,2023/07/16,2022/04/21,,,read,,,,1,0
49127387,Surrounded by Psychopaths: How to Protect Yourself from Being Manipulated and Exploited in Business (and in Life),Thomas Erikson,"Erikson, Thomas",,"=""1250763886""","=""9781250763884""",4,3.53,St. Martin's Essentials,Hardcover,272,2020,2017,2023/06/20,2023/06/19,,,read,,,,1,1
54680228,"We Are Bellingcat: Global Crime, Online Sleuths, and the Bold Future of News",Eliot Higgins,"Higgins, Eliot",,"=""1635577306""","=""9781635577303""",5,4.13,Bloomsbury Publishing,Hardcover,272,2021,2021,2023/06/19,2023/06/19,,,read,,,,1,0
60151185,The Pathless Path: Imagining a New Story For Work and Life,Paul  Millerd,"Millerd, Paul",,"=""""","=""9798985515343""",0,4.03,Paul Millerd,Kindle Edition,222,2022,2022,,2023/06/12,to-read,to-read (#107),to-read,,,,0,0
13589182,Mastery,Robert Greene,"Greene, Robert",,"=""0670024961""","=""9780670024964""",5,4.26,Viking,Hardcover,318,2012,2012,2023/05/18,2023/04/15,,,read,,,,1,0
384924,Waking the Tiger: Healing Trauma,Peter A. Levine,"Levine, Peter A.",Ann  Frederick,"=""155643233X""","=""9781556432330""",0,4.08,North Atlantic Books,Paperback,288,1997,1997,,2023/05/18,to-read,to-read (#106),to-read,,,,0,0
53182096,"Sex Robots and Vegan Meat: Adventures at the Frontier of Birth, Food, Sex and Death",Jenny Kleeman,"Kleeman, Jenny",,"=""1509894888""","=""9781509894888""",0,3.95,Picador,Hardcover,368,2020,2020,,2023/05/10,to-read,to-read (#105),to-read,,,,0,0
62322179,Never Search Alone: The Job Seeker’s Playbook,Phyl Terry,"Terry, Phyl",Marty Cagan,"=""""","=""""",0,4.24,,Kindle Edition,292,2022,,,2023/05/10,to-read,to-read (#104),to-read,,,,0,0
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,"Stanley, Thomas J.",William D. Danko,"=""0671015206""","=""9780671015206""",0,4.07,Gallery Books,Paperback,258,1998,1995,,2023/04/15,to-read,to-read (#103),to-read,,,,0,0
40591670,I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,"Sethi, Ramit",,"=""1523505745""","=""9781523505746""",0,4.17,Workman Publishing Company,Paperback,352,2019,2009,,2023/04/15,to-read,to-read (#102),to-read,,,,0,0
26514633,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0008144222""","=""9780008144227""",4,3.91,Harper Thorsons,Hardcover,226,2015,1988,,2021/01/05,,,read,,,,1,0
66933,The Wretched of the Earth,Frantz Fanon,"Fanon, Frantz","Homi K. Bhabha, Richard Philcox, Jean-Paul Sartre","=""0802141323""","=""9780802141323""",0,4.31,Grove Press,Paperback,251,2005,1961,,2023/04/12,to-read,to-read (#101),to-read,,,,0,0
52975386,How We Change (And Ten Reasons Why We Don't),Ross Ellenhorn,"Ellenhorn, Ross",,"=""0062961128""","=""9780062961129""",0,3.83,Harper Wave,ebook,400,2020,2020,,2023/04/11,to-read,to-read (#100),to-read,,,,0,0
294035,Frames Of Mind: The Theory Of Multiple Intelligences,Howard Gardner,"Gardner, Howard",,"=""0465025102""","=""9780465025107""",0,4.00,Basic Books,Paperback,496,1993,1983,,2023/03/26,to-read,to-read (#99),to-read,,,,0,0
18872437,The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!,M.J. DeMarco,"DeMarco, M.J.",,"=""0984358102""","=""9780984358106""",5,4.32,Viperion Publishing Corp,Paperback,322,2011,2010,2023/03/24,2023/03/18,,,read,,,,1,0
39995046,Ikigai: The Japanese Secret to a Long and Happy Life,Hector Garcia Puigcerver,"Puigcerver, Hector Garcia","Francesc Miralles, Walter Dixon","=""""","=""""",4,3.74,Gildan Media LLC,Audible Audio,,2017,2016,2023/03/13,2023/03/13,,,read,,,,1,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""""","=""""",5,4.35,Harriman House,Paperback,252,2020,2020,2023/03/11,2023/03/11,,,read,,,,1,0
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",0,4.36,Harper Business,Hardcover,274,2016,2016,,2023/01/30,currently-reading,currently-reading (#9),currently-reading,,,,1,0
44286534,You Look Like a Thing and I Love You: How Artificial Intelligence Works and Why It's Making the World a Weirder Place,Janelle Shane,"Shane, Janelle",,"=""0316525243""","=""9780316525244""",5,4.17,Voracious,Hardcover,272,2019,2019,2023/03/04,2023/02/11,,,read,,,,1,0
43726517,Hello World: Being Human in the Age of Algorithms,Hannah Fry,"Fry, Hannah",,"=""0393357368""","=""9780393357363""",0,4.12,W. W. Norton & Company,Paperback,256,2019,2018,,2023/02/18,to-read,to-read (#98),to-read,,,,0,0
27887077,Stop Chasing Influencers: The True Path To Building Your Business and Living Your Dream,Kimanzi Constable,"Constable, Kimanzi",Jared  Easley,"=""""","=""""",2,3.56,Sound Wisdom,Kindle Edition,250,2015,,,2023/02/18,,,read,,,,1,0
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,"=""0735214484""","=""9780735214484""",5,4.14,Riverhead Books,Hardcover,352,2019,2019,2023/02/18,2023/02/12,,,read,,,,1,0
48710241,Futureproof: 9 Rules for Humans in the Age of Automation,Kevin Roose,"Roose, Kevin",,"=""059313334X""","=""9780593133347""",0,3.99,Random House,Hardcover,256,2021,2021,,2023/02/12,to-read,to-read (#97),to-read,,,,0,0
35249663,Inspired: How to Create Tech Products Customers Love,Marty Cagan,"Cagan, Marty",,"=""1119387507""","=""9781119387503""",0,4.24,Wiley,Hardcover,349,2017,2008,,2023/02/11,to-read,to-read (#96),to-read,,,,0,0
22085568,The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,"Meyer, Erin",,"=""""","=""""",0,4.33,PublicAffairs,Kindle Edition,290,2014,2014,,2023/02/04,to-read,to-read (#95),to-read,,,,0,0
58536046,Why Has Nobody Told Me This Before?,Julie      Smith,"Smith, Julie",,"=""0063227932""","=""9780063227934""",5,3.90,HarperOne,Hardcover,368,2022,2022,2023/02/04,2023/01/22,,,read,,,,1,0
759945,The Magic of Thinking Big,David J. Schwartz,"Schwartz, David J.",,"=""0671646788""","=""9780671646783""",0,4.25,Touchstone,Paperback,238,1987,1959,,2023/02/03,to-read,to-read (#94),to-read,,,,0,0
326851,Rosalind Franklin: The Dark Lady of DNA,Brenda Maddox,"Maddox, Brenda",,"=""0060985089""","=""9780060985080""",0,4.12,Harper Perennial,Paperback,416,2003,2002,,2023/02/02,to-read,to-read (#93),to-read,,,,0,0
16123828,The Nature of Code,Daniel Shiffman,"Shiffman, Daniel",,"=""0985930802""","=""9780985930806""",0,4.57,The Nature of Code,Paperback,520,2012,2012,,2023/02/02,to-read,to-read (#92),to-read,,,,0,0
23129659,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson,"Gibson, Lindsay C.",,"=""1626251703""","=""9781626251700""",5,4.40,New Harbinger Publications,Paperback,203,2015,2015,2023/01/28,2022/05/27,,,read,,,,1,0
17986418,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Wheelan, Charles",,"=""039334777X""","=""9780393347777""",0,3.95,W. W. Norton & Company,Paperback,304,2014,2012,,2023/01/28,to-read,to-read (#91),to-read,,,,0,0
53642699,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,"Wiest, Brianna",,"=""""","=""""",0,4.12,Thought Catalog Books,Paperback,421,2020,2020,,2023/01/22,to-read,to-read (#90),to-read,,,,0,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",0,4.00,Viking,Hardcover,304,2020,2020,,2023/01/22,to-read,to-read (#89),to-read,,,,0,0
58772732,"Ways of Being: Animals, Plants, Machines: The Search for a Planetary Intelligence",James Bridle,"Bridle, James",,"=""0374601119""","=""9780374601119""",0,4.19,"Farrar, Straus and Giroux",Hardcover,384,2022,2022,,2023/01/20,to-read,to-read (#88),to-read,,,,0,0
216561,Marie Curie: A Life,Susan Quinn,"Quinn, Susan",,"=""0201887940""","=""9780201887945""",5,4.20,Da Capo Press,Paperback,528,1996,1995,2023/01/18,2023/01/08,,,read,,,,1,0
8909152,Attachments,Rainbow Rowell,"Rowell, Rainbow",,"=""""","=""""",0,3.87,Dutton,Hardcover,323,2011,2011,,2023/01/15,to-read,to-read (#87),to-read,,,,0,0
953972,The Intelligent Investor: A book of practical counsel,Benjamin; Dodd Graham,"Graham, Benjamin; Dodd",,"=""0060115912""","=""9780060115913""",0,4.25,Harpercollins,Hardcover,,1978,1949,,2023/01/12,to-read,to-read (#77),to-read,,,,0,0
664534,The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,"Christensen, Clayton M.",,"=""0875845851""","=""9780875845852""",0,4.04,Harvard Business Review Press,Hardcover,252,1997,1997,,2022/12/30,to-read,to-read (#61),to-read,,,,0,0
51156314,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,"Housel, Morgan",,"=""0857197681""","=""9780857197689""",0,4.35,Harriman House,Paperback,256,2020,2020,,2023/01/12,to-read,to-read (#76),to-read,,,,0,0
6043946,The 50th Law,50 Cent,"Cent, 50",Robert Greene,"=""006177460X""","=""9780061774607""",0,4.17,HarperStudio,Imitation Leather,291,2009,2008,,2023/01/12,to-read,to-read (#79),to-read,,,,0,0
25131230,Rationality: From AI to Zombies,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""1939311152""","=""9781939311153""",0,4.33,Machine Intelligence Research Institute,Kindle Edition,1813,2015,2015,,2023/01/13,to-read,to-read (#86),to-read,,,,0,0
13589153,How to Create a Mind: The Secret of Human Thought Revealed,Ray Kurzweil,"Kurzweil, Ray",,"=""0670025291""","=""9780670025299""",0,3.97,Viking,Hardcover,336,2012,2012,,2023/01/13,to-read,to-read (#85),to-read,,,,0,0
83518,The Singularity is Near: When Humans Transcend Biology,Ray Kurzweil,"Kurzweil, Ray",,"=""0143037889""","=""9780143037880""",0,3.93,Penguin ,Paperback,652,2006,2005,,2023/01/13,to-read,to-read (#84),to-read,,,,0,0
34272565,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"Tegmark, Max",Rob Shapiro,"=""0451485076""","=""9780451485076""",0,4.02,Random House Audio Publishing Group,Audio CD,12,2017,2017,,2023/01/13,ai-books,ai-books (#1),ai-books,,,,0,0
24612233,The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,Pedro Domingos,"Domingos, Pedro",,"=""0465065708""","=""9780465065707""",0,3.75,Basic Books,Hardcover,352,2015,2015,,2023/01/13,to-read,to-read (#83),to-read,,,,0,0
43565360,Artificial Intelligence: A Guide for Thinking Humans,Melanie  Mitchell,"Mitchell, Melanie",,"=""0374257833""","=""9780374257835""",0,4.39,"Farrar, Straus and Giroux",Hardcover,336,2019,2019,,2023/01/13,to-read,to-read (#82),to-read,,,,0,0
36484703,Prediction Machines: The Simple Economics of Artificial Intelligence,Ajay Agrawal,"Agrawal, Ajay","Joshua Gans, Avi Goldfarb","=""1633695689""","=""""",0,3.88,Harvard Business Review Press,Kindle Edition,328,2018,,,2023/01/13,to-read,to-read (#81),to-read,,,,0,0
21192565,The Concise Mastery (The Robert Greene Collection Book 1),Robert Greene,"Greene, Robert",,"=""""","=""""",0,4.40,Profile Books,Kindle Edition,208,2014,2014,,2023/01/12,to-read,to-read (#78),to-read,,,,0,0
38900091,The CEO Next Door: The 4 Behaviours that Transform Ordinary People into World Class Leaders,Elena L. Botelho,"Botelho, Elena L.","Kim R. Powell, Kim Powell, Tahl Raz","=""""","=""""",0,4.02,Virgin Digital,Kindle Edition,310,2018,2018,,2023/01/12,to-read,to-read (#75),to-read,,,,0,0
18224060,The Concise 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""""","=""""",0,4.16,Viva Books,Hardcover,195,2011,1999,,2023/01/11,currently-reading,currently-reading (#8),currently-reading,,,,1,0
61121861,The Confident & Competent New Manager: How to Rapidly Rise to Success in Your First Leadership Role,Ramona Shaw,"Shaw, Ramona",,"=""""","=""""",0,4.00,,Kindle Edition,148,2022,,,2023/01/11,to-read,to-read (#74),to-read,,,,0,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",0,4.08,St. Martin's Press,Hardcover,336,2017,2017,,2023/01/11,to-read,to-read (#73),to-read,,,,0,0
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",5,4.04,Simon & Schuster,Hardcover,335,2018,2018,2023/01/09,2022/07/11,,,read,,,,1,0
13167795,Marie Curie and Her Daughters: The Private Lives of Science's First Family (MacSci),Shelley Emling,"Emling, Shelley",,"=""0230115713""","=""9780230115712""",0,3.73,St. Martin's Press,Hardcover,219,2012,2012,,2023/01/08,to-read,to-read (#72),to-read,,,,0,0
17707768,Jony Ive: The Genius Behind Apple's Greatest Products,Leander Kahney,"Kahney, Leander",,"=""159184617X""","=""9781591846178""",0,3.99,Portfolio,Hardcover,274,2013,2013,,2023/01/08,to-read,to-read (#71),to-read,,,,0,0
11909371,Socrates: A Man for Our Times,Paul  Johnson,"Johnson, Paul",,"=""0670023035""","=""9780670023035""",0,3.71,Viking,Hardcover,224,2011,2011,,2023/01/08,to-read,to-read (#70),to-read,,,,0,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",0,4.48,Simon & Schuster,ebook,320,2022,2022,,2023/01/08,to-read,to-read (#69),to-read,,,,0,0
74034,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,"Postman, Neil",Andrew Postman,"=""014303653X""","=""9780143036531""",0,4.15,Penguin Books,Paperback,184,2005,1985,,2023/01/08,to-read,to-read (#68),to-read,,,,0,0
43708708,White Fragility: Why It’s So Hard for White People to Talk About Racism,Robin DiAngelo,"DiAngelo, Robin","Michael Eric Dyson, Manon Smits, Rob Kuitenbrouwer, Amy Landon","=""0807071161""","=""9780807071168""",0,4.18,Beacon Press,Audiobook,7,2018,2018,,2023/01/08,to-read,to-read (#67),to-read,,,,0,0
58095,Suicide: A Study in Sociology,Émile Durkheim,"Durkheim, Émile","John A. Spaulding, George Simpson","=""0684836327""","=""9780684836324""",0,3.85,Free Press,Paperback,405,1997,1897,,2023/01/08,to-read,to-read (#66),to-read,,,,0,0
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Barry Fox, Irina Henegar","=""0316010669""","=""9780316010665""",0,3.96,Back Bay Books,Paperback,296,2007,2005,,2023/01/08,to-read,to-read (#65),to-read,,,,0,0
43848929,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",0,4.02,"Little, Brown and Company",Hardcover,388,2019,2019,,2023/01/08,to-read,to-read (#64),to-read,,,,0,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",0,4.00,Time Warner Book Group,Paperback,301,2002,2000,,2023/01/08,to-read,to-read (#63),to-read,,,,0,0
42291479,The Extended Mind: The Power of Thinking Outside the Brain,Annie Murphy Paul,"Paul, Annie Murphy",,"=""""","=""""",0,4.05,Mariner Books,Kindle Edition,352,2021,2021,,2022/12/30,to-read,to-read (#62),to-read,,,,0,0
